"index","var","name","volume","date"
3.37931034482759,1.51838277349997,"Klobuchar",43,"04-09-2019"
1.46913580246914,1.68134277665709,"O'Rourke",111,"04-09-2019"
0.621559633027523,1.58208839670931,"Biden",551,"04-09-2019"
1.33333333333333,1.20569635634504,"Gillibrand",31,"04-09-2019"
1.95238095238095,1.66097027197283,"Sanders",159,"04-09-2019"
-0.84,1.45655660504405,"Warren",131,"04-09-2019"
1.98876404494382,1.3061942183466,"Buttigieg",127,"04-09-2019"
2.69047619047619,0.972804233734233,"Booker",71,"04-09-2019"
1.46788990825688,1.42796968966101,"Harris",160,"04-09-2019"
3.37931034482759,1.51838277349997,"Klobuchar",43,"04-02-2019"
1.46913580246914,1.68134277665709,"O'Rourke",111,"04-02-2019"
0.621559633027523,1.58208839670931,"Biden",551,"04-02-2019"
1.33333333333333,1.20569635634504,"Gillibrand",31,"04-02-2019"
1.95238095238095,1.66097027197283,"Sanders",159,"04-02-2019"
-0.84,1.45655660504405,"Warren",131,"04-02-2019"
1.98876404494382,1.3061942183466,"Buttigieg",127,"04-02-2019"
2.69047619047619,0.972804233734233,"Booker",71,"04-02-2019"
1.46788990825688,1.42796968966101,"Harris",160,"04-02-2019"
